User ID,name,Gender,Age,EstimatedSalary,Purchased
10099,Elizabeth Diaz,Female,33,45348,0
10100,Makayla Park,Female,55,60571,1
10101,Dylan Flores,Female,31,115054,0
10102,Justin Lopez,Male,20,23031,0
10103,Donald Castillo,Female,35,122564,1
10104,Andrea Acosta,Female,40,102730,1
10105,Becky Butler,Male,38,19172,0
10106,Linda Collins,Female,49,46227,0
10107,Jason Lopez,Female,56,83604,1
10108,Shannon Watkins,Male,39,37650,1
10109,Ellen Herman,Male,23,25010,1
10110,Caitlin Moore,Male,55,113899,0
10111,Darren Leblanc,Male,26,139064,1
10112,Rebecca Miller,Female,42,127352,1
10113,Cathy Hudson,Male,52,99951,0
10114,Alyssa Shannon,Female,28,76455,1
10115,Eric Bradley,Male,51,60241,-1
10116,Joshua White,Female,43,42998,0
10117,Janet Reyes,Female,29,41834,1
10118,Madeline Price,Female,22,80998,0
10119,Christina Stephens,Male,46,113573,1
10120,Dr. Cheryl Cox,Male,57,146833,0
10121,Cody Turner,Male,24,112603,0
10122,Tanya Rogers,Female,23,75952,0
10123,James Terry,Female,59,130483,0
10124,John Oconnor,Male,48,97536,0
10125,Jason Osborn,Female,35,37220,1
10126,Edgar Chase,Female,39,48628,1
10127,Eric Morris,Male,57,120487,0
10128,Heather Green,Male,50,77556,1
10129,Deanna Gregory,Male,55,95107,1
10130,Carla Mitchell,Male,50,141790,0
10131,Jason Maddox,Male,32,87399,1
10132,Andrea Cantu,Female,47,78467,0
10133,Angela Avila,Male,54,116640,0
10134,Craig Holt,Male,41,85053,0
10135,Mark Mason,Female,31,56711,1
10136,Thomas Whitney,Male,53,34853,0
10137,Teresa Harrington,Male,27,99846,1
10138,Vickie Patterson,Female,27,103969,0
10139,Sergio Rowland,Male,52,80355,0
10140,Valerie Collins,Male,23,70557,0
10141,Eric Johnson,Male,57,67019,1
10142,Matthew Davis,Female,50,45147,0
10143,Casey Simmons,Male,47,72437,0
10144,Renee Fowler,Male,42,140819,1
10145,Veronica Walsh,Female,45,82887,0
10146,Jennifer Campbell,Male,43,72111,1
10147,William Stanley,Male,58,28314,-1
10148,Misty Cook,Female,51,89472,-1
10149,Kenneth Page,Female,55,100134,0
10150,Michele Landry DDS,Female,58,33717,1
10151,Sheri Ray,Male,31,90098,1
10152,Robert Patel,Female,33,38893,1
10153,Abigail Rogers,Male,42,76066,0
10154,James Wright,Female,42,117122,1
10155,Tim Sloan,Female,49,91456,1
10156,Cindy Gibson,Female,35,17373,0
10157,David Smith,Female,50,94810,1
10158,Nathan Alvarez,Female,55,141106,0
10159,John Lloyd,Male,43,142496,-1
10160,Michael Santana,Female,54,64064,0
10161,Tristan Fuller,Female,30,129499,0
10162,Daniel Wagner,Male,21,31718,0
10163,Joe Howard,Male,31,38584,0
10164,Jessica Horton,Female,40,46509,1
10165,Matthew Lopez,Female,51,118185,1
10166,Alexis Baker,Male,32,132910,0
10167,Shannon Bruce,Female,55,23016,0
10168,Andrea Nelson,Male,55,113086,0
10169,Samantha Martinez,Female,26,77141,1
10170,Cynthia Brown,Male,37,65640,0
10171,Mr. Peter Cook,Male,55,100428,0
10172,Andrew Simmons,Male,57,48410,0
10173,Robert Aguirre,Male,37,35596,1
10174,Michelle Moreno,Male,42,91447,1
10175,Thomas Richmond,Male,44,58419,0
10176,James Contreras,Female,36,67691,0
10177,Steven Williams,Male,40,72831,0
10178,Ivan Jones,Male,22,31216,1
10179,Andrea Keith,Male,44,20089,1
10180,Michael Miller,Male,45,48825,0
10181,Joseph Marquez,Female,31,69156,1
10182,Justin White,Female,42,85083,1
10183,Diamond Chan,Female,30,63728,0
10184,Jake Anderson,Male,53,42361,1
10185,Alicia Parker,Male,49,75579,0
10186,Stephanie Parsons,Female,54,109284,1
10187,Gabriel Ford,Male,23,105839,1
10188,Timothy Daniel,Male,45,144018,1
10189,Brian Thomas,Male,38,98290,1
10190,Steven Pierce,Male,56,47169,0
10191,Rita Morrow,Male,34,103313,1
10192,Evan Park,Female,50,64221,1
10193,Daniel Reid,Female,51,35725,1
10194,Brian Ball,Male,58,131080,0
10195,Kevin Young,Female,50,75466,1
10196,Stephen Erickson,Male,50,139911,0
10197,Christopher Tanner,Male,54,35961,0
10198,Zachary Davis,Male,20,17414,0
10199,John Zimmerman,Female,49,147467,0
10200,Nicholas Johnson,Female,22,34610,1
10201,Michelle Porter,Male,48,61426,1
10202,John Winters,Male,37,68892,1
10203,Jason Richardson,Male,52,67738,0
10204,Daniel Stanley,Female,37,25281,0
10205,Jason Copeland,Female,39,109439,1
10206,Catherine Flores,Male,28,50949,0
10207,Thomas Davis,Female,48,113723,1
10208,Christopher Reeves,Male,38,66645,1
10209,Geoffrey Fitzgerald,Female,59,37899,0
10210,Amanda Hernandez,Female,38,86389,1
10211,William Campbell,Female,28,17646,-1
10212,Charles Berg,Male,40,45254,1
10213,Gail Malone,Male,28,111024,0
10214,James Brown,Male,56,21132,1
10215,Phillip Evans,Female,22,79671,0
10216,Brooke Bailey,Female,56,108523,1
10217,Robert Sanchez,Female,43,121260,-1
10218,Tracey Nelson,Male,58,31827,0
10219,Jacob Smith,Female,34,52810,0
10220,Christine Davis,Male,48,139705,0
10221,Cheryl Elliott,Female,42,53461,1
10222,Jonathan Elliott,Male,33,138031,0
10223,Katelyn Hill,Female,30,24349,0
10224,Allison Cortez,Male,21,115899,0
10225,Mary Newman,Female,55,146458,0
10226,Brandon Ortiz,Male,21,64505,0
10227,Audrey Tran,Male,32,49213,1
10228,Maria Phillips,Male,26,82840,1
10229,Mallory Alexander,Male,57,112422,0
10230,Joshua Warren,Female,47,72644,0
10231,Amanda Vaughan,Female,51,54978,0
10232,Matthew Ryan,Female,48,66102,0
10233,Jessica Perkins,Male,58,85467,0
10234,Samantha Bates,Female,34,84366,-1
10235,Megan Smith,Female,51,148980,1
10236,Michele Foley,Female,21,53497,0
10237,Kristine Tyler,Male,51,82271,-1
10238,Ryan Nichols,Female,24,71874,-1
10239,Brady Thomas,Male,36,97659,0
10240,Erik Sanders,Female,38,83106,1
10241,Dylan Rangel,Male,21,97426,1
10242,Michelle Taylor,Male,51,84958,1
10243,Jennifer Serrano,Female,21,95331,1
10244,Mark Carter,Female,45,138000,-1
10245,Amy Gilbert,Male,43,126777,1
10246,Victor Sawyer,Female,28,124302,0
10247,Megan Murray,Female,44,38003,1
10248,Jessica Hernandez,Female,41,90886,0
10249,Steven Martinez,Female,50,28507,0
10250,Peggy Garcia,Male,33,48599,0
10251,Jeffrey Clark,Female,44,80821,0
10252,Pamela Nunez,Male,31,23555,0
10253,Richard Watkins,Female,58,18951,0
10254,Hannah Nelson,Male,41,85229,0
10255,Carl Smith,Female,50,33398,0
10256,Kelly Smith,Male,20,53433,0
10257,Miranda Conley,Male,29,43418,1
10258,Glenn Sharp,Female,36,56943,0
10259,John Paul,Female,29,127680,0
10260,Kyle Williams,Male,21,89935,0
10261,Alexander Alexander,Female,41,97826,0
10262,Jessica Walker,Female,58,113282,0
10263,Shawn Hansen,Female,42,73531,0
10264,Candace Ferguson,Male,25,12598,0
10265,Hannah Lopez,Male,48,119427,1
10266,Katrina Clark,Male,31,91581,0
10267,Heather Snyder,Male,22,64015,0
10268,Michelle Rollins,Male,20,75939,1
10269,Brandi Hayes,Male,31,46516,0
10270,Robert Williams,Male,39,52312,0
10271,Tammy Williams,Male,40,90673,0
10272,Sharon Kelly,Female,48,123703,1
10273,Caitlin Ryan,Male,29,88426,1
10274,Trevor Allen,Female,42,20710,0
10275,Jason Cook,Female,39,44496,-1
10276,Jennifer Williams,Female,46,27225,0
10277,Ashley Maxwell,Male,40,12109,0
10278,Richard Diaz,Female,20,125421,0
10279,Elizabeth Harris,Male,49,9596,0
10280,Gabriel Flores,Female,46,149496,1
10281,Calvin Hall,Female,59,145743,0
10282,Erica Smith,Female,26,66571,1
10283,Leah Nguyen,Female,53,41620,0
10284,Anthony Bennett,Female,50,22679,0
10285,Christopher Padilla,Male,28,69861,1
10286,Brian Davis,Male,52,91994,1
10287,Joseph Rodriguez,Female,21,88751,0
10288,Shannon Garrett,Male,58,38955,1
10289,Sharon Davis,Female,25,72102,0
10290,Carlos Wood,Female,42,37283,0
10291,Linda Li,Female,34,72121,1
10292,Justin Gonzalez,Male,29,27353,1
10293,Michael Aguilar,Male,38,143747,0
10294,Kristina Williams,Female,42,8941,1
10295,Brian Cruz,Male,25,132705,0
10296,David Larsen,Female,23,76809,0
10297,Jessica Orozco,Female,33,100110,0
10298,Leslie Morales,Male,23,147067,0
10299,Nichole Hardin,Male,57,138624,0
10300,Hannah Byrd,Female,49,59468,0
10301,Theresa Rivera,Male,45,59355,0
10302,Jesse Moore,Female,20,69866,1
10303,Michael Reed,Male,38,114238,0
10304,David Ellis,Male,40,123848,1
10305,Larry Obrien,Female,26,84731,0
10306,Michael Mcgrath,Male,33,30399,0
10307,Laura Schmidt,Male,26,147227,0
10308,Jessica Burns,Male,57,81232,0
10309,Cody Yang,Female,37,52457,1
10310,Donna Johns,Female,36,85354,0
10311,Samantha Sanders,Male,23,47730,1
10312,Brian Richmond,Male,27,74611,0
10313,Mary Avila,Female,47,29997,0
10314,Steven Nelson,Female,57,139957,0
10315,Valerie Franco DDS,Male,42,95779,1
10316,John Bowen,Female,43,135037,0
10317,Karen Daniel,Male,27,44181,1
10318,Nicole Webb,Female,56,136470,0
10319,Brian York,Male,38,47111,0
10320,Deanna Velasquez,Female,37,94032,1
10321,Sarah Brandt,Female,56,32825,0
10322,Brenda Kim,Male,29,98940,0
10323,Julie Wilson,Male,47,37949,0
10324,Michael Barr,Female,41,37040,0
10325,Randy Perez,Male,28,118413,0
10326,Jeanette Rivera,Male,28,46627,1
10327,Nathan Woods,Female,28,80377,0
10328,Eric Mcdonald,Female,25,83155,0
10329,Jessica Daniels,Male,48,65597,1
10330,Jessica Gonzalez,Female,53,135558,1
10331,Rachel Griffin,Male,51,88286,1
10332,Susan Mcmillan,Female,25,57776,1
10333,Tyler Johnson,Female,42,146702,0
10334,Michelle Kim,Male,36,140321,0
10335,John Lopez,Female,40,116849,1
10336,Patricia Brock,Male,33,82532,0
10337,Joshua Alvarez MD,Male,33,21778,0
10338,Jake Moses,Female,43,80049,0
10339,Miss Christine Shelton,Female,44,137839,0
10340,Cynthia Young,Male,41,73216,-1
10341,Richard Sharp,Male,47,98433,0
10342,Shelley Richards,Male,27,41550,1
10343,Angela Shea,Male,34,93513,1
10344,Stephen Nichols,Female,32,101394,0
10345,Lori Mitchell,Male,30,89122,0
10346,Joseph Hart,Female,21,45106,0
10347,John Bell,Male,35,81747,0
10348,Maria Montgomery,Female,23,137215,0
10349,Michael Fields,Female,36,136071,1
10350,Natalie Greer,Female,32,85701,1
10351,Arthur Daniels,Male,27,78873,0
10352,Jasmin Atkinson,Male,24,68986,1
10353,Barbara Calderon,Female,26,80005,0
10354,Jeremiah Rogers,Male,53,9522,0
10355,Cody Stevens,Male,46,39847,0
10356,Andrew Vaughn,Male,35,51801,0
10357,Andrea Garcia,Female,50,107503,1
10358,Jennifer Hunter,Female,35,64094,0
10359,Dawn Knight,Female,40,19670,1
10360,William Byrd,Male,32,115471,0
10361,Stacey Nicholson,Female,41,33533,0
10362,David Shah,Male,27,58988,0
10363,Angela Martinez,Male,50,30092,1
10364,Kent Ward,Male,54,122876,1
10365,Scott Mckee,Female,59,115035,0
10366,Taylor Miller,Female,35,55022,0
10367,Allison Lawrence,Female,42,96541,1
10368,Amanda Hughes,Female,43,65328,1
10369,Ms. Stephanie Brown,Female,57,97864,1
10370,Ana Bernard,Male,26,24549,-1
10371,Samuel Huang,Male,44,112381,0
10372,Jennifer Marshall,Female,56,43873,1
10373,Lisa Hanson,Male,36,137748,1
10374,Ebony Monroe,Female,24,121103,0
10375,Nicole Castillo,Male,59,112793,-1
10376,Danielle Nguyen,Male,30,83664,0
10377,Sandra Austin,Male,35,88033,0
10378,Daniel Moore,Female,48,51938,0
10379,Logan Mendez,Female,53,137009,0
10380,Courtney Walker,Male,22,119656,0
10381,Hailey Wiggins,Male,27,88297,1
10382,Michael Owens,Male,20,88985,0
10383,Sarah Fields,Female,44,63511,0
10384,Alex Johnson,Female,40,10942,-1
10385,Miranda Ford,Female,20,90923,0
10386,Jason Gates,Male,48,118075,0
10387,Danny Clarke DDS,Female,23,59866,1
10388,Destiny Hanna,Female,56,95048,0
10389,Isaac Johnson,Male,29,90137,-1
10390,John Welch,Female,26,70968,1
10391,Tiffany Thomas,Male,51,69898,1
10392,Kyle Hancock,Male,23,66546,1
10393,Cynthia Riley,Male,48,21962,0
10394,Andrew Price,Female,30,101420,0
10395,Kevin Thompson,Female,23,125253,1
10396,Jonathan Acevedo,Female,32,75951,-1
10397,Trevor Wilson,Female,56,132634,0
10398,Kevin Black,Male,27,10727,1
10399,Tiffany Dixon,Female,29,34279,0
10400,Jennifer Gordon DVM,Male,52,146776,1
10401,Karen Wright,Female,29,50258,1
10402,Caitlin Hall,Female,29,23615,0
10403,Amanda Burns,Female,54,20936,1
10404,Raymond Rivera,Female,54,70337,1
10405,Sandra Gay,Female,59,102504,0
10406,Eric Martinez,Female,22,76385,1
10407,Heidi Miller,Male,28,47800,0
10408,Clarence Miller,Male,39,23550,1
10409,Daniel Mendez,Male,40,123453,1
10410,Patrick Brooks,Male,51,45518,1
10411,James Nelson,Female,46,108433,0
10412,Amy Cordova,Female,45,89687,0
10413,Mrs. Lisa Molina MD,Male,47,28559,0
10414,Eric Mills,Male,53,31767,1
10415,John Pierce,Male,31,65069,0
10416,Kimberly Turner,Male,32,120619,1
10417,Daniel Marshall,Male,47,78449,1
10418,Margaret Torres,Female,47,109225,0
10419,Julie Ford,Male,48,47304,0
10420,Stephen Kelley,Female,23,148448,1
10421,Ashley Madden,Female,32,110475,1
10422,Shelby Ramirez,Female,22,144772,0
10423,Robert Schneider,Male,52,107817,0
10424,Matthew Chambers,Male,44,86475,0
10425,John Landry,Male,52,115706,0
10426,Sherri Martinez,Male,28,32655,0
10427,Loretta Ramirez,Male,40,40716,1
10428,Daniel Miller,Female,47,86144,1
10429,Holly Reyes,Male,52,149647,0
10430,Colleen Holmes,Female,46,144210,0
10431,Lori Mcguire,Female,21,126837,0
10432,Pamela Marsh,Male,51,50070,1
10433,Joel Guerrero,Female,54,139977,1
10434,Cameron Copeland,Male,52,139989,0
10435,Jessica Parker,Female,24,76308,0
10436,David Jackson,Female,21,100648,1
10437,Larry Cameron,Female,51,11066,1
10438,Luis Herrera,Female,41,70096,-1
10439,Louis Gonzales,Female,28,56768,1
10440,Anthony Park,Male,55,31256,0
10441,Lisa Barker,Female,54,23026,0
10442,Christian Jarvis,Male,45,52277,1
10443,Derrick Wolfe,Female,43,55757,-1
10444,Holly Chen,Female,39,132607,1
10445,Barbara Adams,Male,33,62253,1
10446,Heather Steele,Male,27,58918,-1
10447,John Dalton,Male,38,147803,0
10448,Hannah Marshall,Female,57,75170,0
10449,Megan Mckay,Male,47,26914,1
10450,Charles Hunt,Female,40,114105,-1
10451,Ryan Salazar,Male,58,17370,0
10452,Kristin Smith,Male,37,73890,-1
10453,Randall Bishop,Female,21,76586,0
10454,Ann Luna,Male,49,129012,0
10455,Lori Green,Male,45,117291,1
10456,Christine Moreno,Female,59,97910,1
10457,Tracy Rhodes,Female,29,137580,-1
10458,Brian Cabrera,Female,43,11904,0
10459,Xavier Murphy,Female,51,70979,1
10460,Jose Phillips,Female,57,108847,1
10461,Phillip Romero,Female,26,115524,0
10462,Marissa Carter,Female,28,30734,1
10463,Jonathan Sandoval,Female,41,108260,1
10464,Sandra Sims DVM,Male,46,36092,1
10465,Amy Jackson,Male,46,27199,0
10466,Tamara Gutierrez,Male,42,30840,0
10467,Peter Larson,Male,31,14584,0
10468,Belinda Obrien,Male,37,128677,0
10469,Stephanie Romero,Female,42,139257,0
10470,Aaron Wilson,Male,57,101058,0
10471,Daniel Hogan,Male,34,133017,0
10472,Maria George,Male,22,22117,0
10473,Brian Hernandez,Female,23,41485,0
10474,Rebecca Freeman,Female,31,116729,1
10475,Rachel Choi,Male,36,43369,0
10476,Jack Wallace,Male,24,28169,0
10477,Brian Martinez,Female,55,39196,1
10478,Ms. Elizabeth Peters MD,Male,22,39861,0
10479,Shawn Jackson,Male,43,65616,1
10480,Karen Morgan,Male,58,149894,0
10481,Brittany Lindsey,Male,24,144845,0
10482,Paul Sandoval,Male,30,21780,0
10483,Mrs. Cynthia Webb,Female,21,18257,1
10484,Joanne Nguyen,Male,31,123008,0
10485,John West,Female,39,106726,0
10486,Michael Lawrence,Female,52,128961,0
10487,Kerry Harrison,Female,32,138444,0
10488,Christopher Baxter,Female,48,83837,0
10489,Kyle Holmes,Male,57,96017,1
10490,Bernard Nichols,Male,33,100833,0
10491,Andrew Wagner,Female,55,109752,0
10492,Tyrone Brown,Female,36,97366,0
10493,Laura Mcbride,Female,59,114896,-1
10494,Randy Woodard,Male,21,139605,0
10495,Jerry Smith,Male,45,12730,0
10496,Randall Jackson,Male,46,8394,1
10497,Nicholas Lewis,Female,37,79497,0
10498,Joshua Johnson,Female,57,57307,0
10499,Cory Hines,Female,50,20697,0
10500,Wayne Lopez,Male,25,23491,0
10501,Amy Gonzalez,Male,57,118057,0
10502,Mr. Jeffrey Griffin Jr.,Female,43,30116,1
10503,Austin Gordon,Male,56,126414,0
10504,William Oneal,Female,40,110786,1
10505,Billy Welch,Female,58,89661,0
10506,Alexander Horton,Female,48,103886,1
10507,Teresa Murray,Female,42,65102,1
10508,Susan Nash,Female,21,29458,1
10509,Jennifer Chandler,Male,33,31074,1
10510,Alyssa Henry,Female,44,34323,1
10511,Carla Peterson,Male,31,108884,0
10512,Devin Collins,Female,29,131685,0
10513,Juan Benson,Male,37,135813,0
10514,Jose Reese,Female,47,118749,0
10515,Cheryl Macias,Female,39,54667,1
10516,Edward Blanchard,Male,25,61319,1
10517,Heather Moore,Male,48,27452,0
10518,Erika Stone,Female,51,70080,0
10519,Summer Hughes,Male,42,130938,0
10520,Brad Young,Male,50,21683,1
10521,Breanna Davis,Male,50,64671,1
10522,Leslie Weiss,Male,22,145678,0
10523,Elizabeth Wyatt,Female,21,60010,1
10524,Justin Mahoney,Female,26,26721,1
10525,Rodney Contreras,Female,34,104196,0
10526,Guy Thompson,Male,42,145052,0
10527,Patrick Clayton,Female,27,44728,0
10528,Sarah Martin,Male,32,24488,1
10529,Diana Lloyd,Male,55,62460,1
10530,Stephanie Thompson,Female,24,114680,1
10531,Arthur Anderson,Male,31,119910,0
10532,Nicole Smith,Male,29,36532,0
10533,Richard Santos,Female,59,146323,0
10534,Marc Brown,Female,55,55225,0
10535,Matthew Trujillo,Male,35,146591,1
10536,Zoe Wyatt,Male,43,25242,1
10537,Kerri Khan,Male,47,132625,0
10538,Mr. Bernard Griffith,Male,53,50575,1
10539,Stacy Henderson,Male,20,135770,0
10540,Erin Malone,Female,51,104220,0
10541,David French,Female,51,10498,1
10542,James Robinson,Male,25,123625,0
10543,Matthew Richmond,Male,26,125441,1
10544,Gregory Erickson,Male,45,94797,0
10545,Donna Mccarthy,Male,46,106994,1
10546,Maurice Evans,Female,45,136655,0
10547,Robert Boyd,Female,52,29219,1
10548,Michele Johnson,Male,25,146900,0
10549,Joe Larson,Male,27,24016,1
10550,Rebecca Allen,Male,38,135908,1
10551,Sarah Morgan,Female,52,141921,1
10552,Diana Freeman,Male,42,36996,0
10553,Allison Cervantes,Female,57,138036,-1
10554,Hannah Anderson,Female,23,18397,0
10555,Dawn Martin,Female,54,10532,0
10556,Alejandra Hall,Female,34,69227,1
10557,Andrew Bird,Female,48,144111,0
10558,Dana Braun,Male,22,13947,0
10559,Jesus Diaz,Male,34,52851,0
10560,Daniel Jones,Male,30,81900,1
10561,James Ryan,Female,52,55761,1
10562,Dale Wood,Male,36,149055,0
10563,Traci Rasmussen,Female,24,105339,0
10564,Sandra Morgan,Female,44,110849,1
10565,Kenneth Macias,Male,53,58491,1
10566,Dennis Young,Male,53,73464,0
10567,Dr. Judy Waters,Male,22,144381,1
10568,Brittany Duran,Male,25,74130,0
10569,Jennifer Smith,Female,23,94240,1
10570,Keith Anderson,Female,39,70187,1
10571,Hannah Long,Female,37,123329,1
10572,Peter Gilbert,Female,29,33408,-1
10573,Billy Dougherty,Male,55,142250,0
10574,Lori Flores,Male,25,74210,1
10575,Michael Smith,Female,22,92487,1
10576,Stephanie Hall,Male,35,119950,0
10577,Barbara Gutierrez,Female,37,111402,1
10578,Daniel Mccann,Female,44,104599,1
10579,Randy Cervantes,Female,55,118808,1
10580,Laura Howard,Male,22,48107,1
10581,Wesley Porter,Male,31,18660,0
10582,Derek Gonzalez,Female,32,31128,0
10583,Jeremy Wood,Male,32,78871,1
10584,Eric Adams,Male,58,82127,1
10585,Toni Tran,Male,50,62988,-1
10586,James Bowen,Male,51,114904,0
10587,William Paul,Female,36,35044,1
10588,Craig Fisher,Female,54,41555,0
10589,Rhonda Peterson,Female,33,71942,1
10590,Jessica Jensen,Female,24,13210,0
10591,Erin Hall,Male,35,89291,1
10592,Alejandra Pena,Female,26,134476,0
10593,Amber Wilson,Female,22,103098,1
10594,Danielle Edwards,Male,48,35100,0
10595,Oscar Kelley,Male,41,46698,0
10596,Karen Schwartz,Female,38,132495,1
10597,Jon Clark,Female,27,27802,0
10598,Wayne Frye,Male,28,30078,0
10599,Sandra Elliott,Male,23,52163,1
10600,James Horton,Male,24,124290,0
10601,Michael Weaver,Male,47,144150,0
10602,Daniel Brooks,Female,46,103883,1
10603,Kimberly Stevens,Male,41,122521,0
10604,James Rodriguez,Male,29,46220,0
10605,Karen Hamilton,Female,36,45947,0
10606,Albert Wyatt,Male,26,43526,0
10607,Nicole Harmon,Male,30,127559,1
10608,Dustin Davis,Female,36,59876,0
10609,Claudia Castro,Female,31,107944,1
10610,Amanda Nelson,Male,43,78077,1
10611,Jeanette Roberts,Male,36,19365,1
10612,Edgar Lee,Female,25,110190,0
10613,Tiffany Bowman,Female,22,149085,1
10614,Shelby Gonzalez,Female,53,18923,0
10615,Mrs. Elizabeth Roach,Male,45,126521,0
10616,Steven Mejia,Female,21,80437,1
10617,Sarah Patrick,Female,27,60378,0
10618,Rebecca Brown,Male,42,56680,1
10619,Laura Serrano,Male,22,146884,0
10620,Andrea Bennett,Female,29,49285,0
10621,Carl Terry,Male,40,87845,0
10622,Victoria Cooper,Female,49,101022,1
10623,Lawrence Austin,Male,43,126978,-1
10624,Shannon Valencia,Male,46,133296,1
10625,Darrell Ellison,Female,32,96805,1
10626,Connie Decker,Male,46,78131,0
10627,Vanessa Griffin MD,Male,53,141929,1
10628,Robert Dillon,Male,58,11261,0
10629,Jillian Rodriguez,Male,42,31193,1
10630,Mitchell Moore,Male,54,45722,0
10631,Anthony Wilson,Female,21,44900,1
10632,Terry Ray,Female,57,78199,1
10633,Mark Stewart,Male,42,110101,1
10634,Jennifer Montoya,Female,58,62516,1
10635,Kyle Rose,Male,23,9365,0
10636,Erin Morton,Female,36,86641,1
10637,Sherry Knapp,Male,24,13741,1
10638,Dorothy Paul MD,Female,46,21725,0
10639,Alexis Clark,Female,42,47648,0
10640,Kelly Rowe,Female,23,143040,0
10641,Kyle Mclaughlin,Female,53,64828,0
10642,Jeffrey Hodges,Male,40,148701,0
10643,John Chandler,Female,56,110688,1
10644,Brian Church,Male,49,46176,1
10645,Christopher Tyler,Male,41,32464,1
10646,John Bass,Female,44,109266,0
10647,Keith Gordon,Female,27,92346,1
10648,Michael Khan,Male,27,106634,0
